trace_id,task_id,repo,solver_alias,source_harness,model_hint,role,resolved,n_events,n_actions,search_no_new_evidence_rate,redundant_reread_rate,oversized_then_narrow_read_rate,no_evidence_patch_churn_rate,post_edit_test_gap,fraction_actions_in_no_new_evidence_streaks,tool_error_rate,environment_setup_rate,cnt_search_call_count,cnt_read_call_count,cnt_edit_count,cnt_test_count,cnt_n_actions,cnt_n_steps,cnt_exact_repeated_search_count,cnt_same_file_reedit_count,cnt_no_evidence_reedit_count,cnt_tool_error_count,cnt_environment_setup_event_count,cnt_longest_no_new_evidence_streak,cnt_unique_files_read,cnt_unique_files_modified,cnt_candidate_files_discovered,miss_search_no_new_evidence_rate,miss_redundant_reread_rate,miss_oversized_then_narrow_read_rate,miss_no_evidence_patch_churn_rate,miss_post_edit_test_gap,miss_fraction_actions_in_no_new_evidence_streaks,miss_tool_error_rate,miss_environment_setup_rate,total_tokens_proxy
django__django-11087@solver_A,django__django-11087,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,False,52,52,0.7368,0.0,0.0,0.1818,,0.0577,0.0769,0.0,19,2,11,0,52,52,1.0,5.0,2.0,4.0,0.0,1.0,2.0,6.0,34.0,False,False,False,False,True,False,False,False,52
django__django-11095@solver_A,django__django-11095,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,15,14,0.8,0.0,0.0,0.0,,0.0714,0.0,0.0,5,1,2,1,14,15,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,False,False,False,False,True,False,False,False,14
django__django-11099@solver_A,django__django-11099,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,6,5,,0.0,0.0,0.0,,0.0,0.0,0.0,0,1,1,0,5,6,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,True,False,False,False,True,False,False,False,5
django__django-11119@solver_A,django__django-11119,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,8,8,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,2,1,2,0,8,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,False,False,False,False,True,False,False,False,8
django__django-11133@solver_A,django__django-11133,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,12,11,1.0,0.5,0.0,0.0,2.0,0.0,0.0,0.0,1,2,2,1,11,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,11
django__django-11138@solver_A,django__django-11138,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,58,58,0.6667,0.3077,0.0,0.3,,0.1207,0.069,0.0,18,13,10,0,58,58,0.0,5.0,3.0,4.0,0.0,2.0,9.0,5.0,35.0,False,False,False,False,True,False,False,False,58
django__django-11141@solver_A,django__django-11141,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,False,47,46,0.5385,0.5455,0.0,0.0,,0.0435,0.0435,0.0,13,11,5,1,46,47,0.0,1.0,0.0,2.0,0.0,1.0,4.0,4.0,13.0,False,False,False,False,True,False,False,False,46
django__django-11149@solver_A,django__django-11149,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,42,41,0.6667,0.3333,0.0,0.0,,0.0976,0.122,0.0,9,3,5,1,41,42,0.0,2.0,0.0,5.0,0.0,1.0,2.0,3.0,19.0,False,False,False,False,True,False,False,False,41
django__django-11163@solver_A,django__django-11163,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,15,15,0.6,0.5,0.0,0.0,1.0,0.1333,0.0,0.0,5,2,2,1,15,15,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,False,False,False,False,False,False,False,False,15
django__django-11179@solver_A,django__django-11179,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,10,9,0.0,0.0,0.0,0.0,,0.0,0.1111,0.0,1,1,2,0,9,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,20.0,False,False,False,False,True,False,False,False,9
django__django-11206@solver_A,django__django-11206,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,34,34,0.5,0.0,0.0,0.5,,0.1176,0.1176,0.0,2,1,4,1,34,34,0.0,3.0,2.0,4.0,0.0,2.0,1.0,1.0,1.0,False,False,False,False,True,False,False,False,34
django__django-11211@solver_A,django__django-11211,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,26,25,0.7,0.1667,0.0,0.0,2.0,0.0,0.04,0.0,10,6,2,1,25,26,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,22.0,False,False,False,False,False,False,False,False,25
django__django-11239@solver_A,django__django-11239,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,16,16,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,2,2,1,16,16,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,13.0,False,False,False,False,False,False,False,False,16
django__django-11265@solver_A,django__django-11265,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,False,21,21,0.8333,0.0,0.0,0.0,,0.0,0.0476,0.0,6,3,3,0,21,21,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,5.0,False,False,False,False,True,False,False,False,21
django__django-11276@solver_A,django__django-11276,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,16,16,1.0,0.3333,0.0,0.6667,4.0,0.0,0.0625,0.0,3,3,3,1,16,16,0.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,False,False,False,False,False,False,False,False,16
django__django-11292@solver_A,django__django-11292,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,20,19,0.7143,0.0,0.0,0.25,,0.0,0.0,0.0,7,3,4,0,19,20,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,10.0,False,False,False,False,True,False,False,False,19
django__django-11299@solver_A,django__django-11299,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,12,12,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,2,1,3,0,12,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,False,False,False,False,True,False,False,False,12
django__django-11333@solver_A,django__django-11333,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,19,18,1.0,0.0,0.0,0.25,,0.1111,0.1111,0.0,5,2,4,1,18,19,1.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,0.0,False,False,False,False,True,False,False,False,18
django__django-11400@solver_A,django__django-11400,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,18,18,0.6667,0.3333,0.0,0.2,1.0,0.0,0.0,0.0,3,3,5,1,18,18,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,False,False,False,False,False,False,False,False,18
django__django-11433@solver_A,django__django-11433,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,26,25,0.3333,0.4,0.0,0.25,,0.16,0.08,0.0,6,5,4,0,25,26,0.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,29.0,False,False,False,False,True,False,False,False,25
django__django-11451@solver_A,django__django-11451,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,10,9,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,2,1,9,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,False,False,False,False,True,False,False,False,9
django__django-11477@solver_A,django__django-11477,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,40,40,0.5714,0.4,0.0,0.2857,,0.075,0.075,0.0,7,5,7,1,40,40,0.0,2.0,2.0,3.0,0.0,2.0,3.0,5.0,31.0,False,False,False,False,True,False,False,False,40
django__django-11490@solver_A,django__django-11490,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,21,21,0.6667,0.0,0.0,0.4,,0.0,0.0476,0.0,6,1,5,0,21,21,0.0,3.0,2.0,1.0,0.0,0.0,1.0,2.0,25.0,False,False,False,False,True,False,False,False,21
django__django-11532@solver_A,django__django-11532,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,False,67,67,0.7143,0.5,0.0,0.5312,7.0,0.1045,0.0299,0.0,7,10,32,3,67,67,0.0,24.0,17.0,2.0,0.0,1.0,5.0,8.0,9.0,False,False,False,False,False,False,False,False,67
django__django-11551@solver_A,django__django-11551,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,12,12,1.0,0.0,0.0,0.0,,0.0,0.0833,0.0,2,1,2,0,12,12,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,False,False,False,False,True,False,False,False,12
django__django-11555@solver_A,django__django-11555,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,23,22,0.0,0.3333,0.0,0.1429,,0.0,0.1364,0.0,2,3,7,0,22,23,0.0,1.0,1.0,3.0,0.0,0.0,2.0,6.0,15.0,False,False,False,False,True,False,False,False,22
django__django-11603@solver_A,django__django-11603,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,12,11,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1,1,4,1,11,12,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,False,False,False,False,False,False,False,False,11
django__django-11728@solver_A,django__django-11728,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,15,15,0.0,0.0,0.0,0.25,,0.0,0.0,0.0,2,2,4,1,15,15,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,False,False,False,False,True,False,False,False,15
django__django-11734@solver_A,django__django-11734,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,False,76,75,0.9091,0.7778,0.0,0.2,,0.0133,0.0133,0.0,22,27,5,0,75,76,0.0,3.0,1.0,1.0,0.0,1.0,6.0,2.0,31.0,False,False,False,False,True,False,False,False,75
django__django-11740@solver_A,django__django-11740,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,36,35,0.8,0.6,0.2,0.4615,,0.0286,0.0571,0.0,5,5,13,1,35,36,0.0,10.0,6.0,2.0,0.0,1.0,2.0,3.0,28.0,False,False,False,False,True,False,False,False,35
django__django-11749@solver_A,django__django-11749,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,19,19,0.5,0.0,0.0,0.0,,0.0526,0.0526,0.0,4,3,4,0,19,19,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,22.0,False,False,False,False,True,False,False,False,19
django__django-11790@solver_A,django__django-11790,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,19,18,0.8,0.3333,0.0,0.0,2.0,0.0,0.1111,0.0,5,3,2,1,18,19,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,11.0,False,False,False,False,False,False,False,False,18
django__django-11815@solver_A,django__django-11815,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,13,13,0.6667,0.0,0.0,0.0,,0.0,0.0769,0.0,3,1,3,1,13,13,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,False,False,False,False,True,False,False,False,13
django__django-11820@solver_A,django__django-11820,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,False,25,24,1.0,0.0,0.0,0.5,,0.0,0.0417,0.0,3,1,8,0,24,25,0.0,5.0,4.0,1.0,0.0,0.0,1.0,3.0,0.0,False,False,False,False,True,False,False,False,24
django__django-11848@solver_A,django__django-11848,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,11,10,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1,2,2,1,10,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,False,False,False,False,False,False,False,False,10
django__django-11880@solver_A,django__django-11880,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,9,8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,2,0,8,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,False,False,False,False,True,False,False,False,8
django__django-11885@solver_A,django__django-11885,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,76,75,0.8571,0.5833,0.0833,0.5455,,0.0667,0.0933,0.0,14,12,22,0,75,76,0.0,18.0,12.0,7.0,0.0,1.0,5.0,4.0,7.0,False,False,False,False,True,False,False,False,75
django__django-11951@solver_A,django__django-11951,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,10,10,1.0,0.6667,0.0,0.0,1.0,0.0,0.0,0.0,1,3,1,1,10,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,10
django__django-11964@solver_A,django__django-11964,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,14,14,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,4,1,2,0,14,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,31.0,False,False,False,False,True,False,False,False,14
django__django-11999@solver_A,django__django-11999,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,18,17,0.8571,0.0,0.0,0.0,,0.0588,0.1765,0.0,7,1,3,0,17,18,0.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,20.0,False,False,False,False,True,False,False,False,17
django__django-12039@solver_A,django__django-12039,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,11,10,,0.5,0.0,0.3333,1.0,0.0,0.0,0.0,0,2,3,1,10,11,,1.0,1.0,0.0,0.0,0.0,1.0,2.0,,True,False,False,False,False,False,False,False,10
django__django-12050@solver_A,django__django-12050,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,15,14,1.0,0.0,0.0,0.0,,0.0,0.0714,0.0,2,1,4,0,14,15,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,False,False,False,False,True,False,False,False,14
django__django-12125@solver_A,django__django-12125,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,76,75,0.6842,0.7,0.0,0.3125,2.0,0.16,0.0267,0.0,19,20,16,6,75,76,0.0,13.0,5.0,2.0,0.0,2.0,6.0,3.0,25.0,False,False,False,False,False,False,False,False,75
django__django-12143@solver_A,django__django-12143,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,7,6,,0.0,0.0,0.0,,0.0,0.0,0.0,0,1,1,0,6,7,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,True,False,False,False,True,False,False,False,6
django__django-12155@solver_A,django__django-12155,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,11,11,0.0,0.0,0.0,0.3333,1.0,0.0,0.0909,0.0,1,1,3,1,11,11,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,False,False,False,False,False,False,False,False,11
django__django-12193@solver_A,django__django-12193,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,False,19,19,0.5,0.0,0.0,0.0,,0.0,0.1579,0.0526,2,2,4,0,19,19,0.0,0.0,0.0,3.0,1.0,0.0,2.0,4.0,2.0,False,False,False,False,True,False,False,False,19
django__django-12209@solver_A,django__django-12209,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,70,70,0.8421,0.7778,0.0,0.2857,,0.0714,0.0714,0.0,19,9,14,1,70,70,0.0,9.0,4.0,5.0,0.0,1.0,2.0,5.0,33.0,False,False,False,False,True,False,False,False,70
django__django-12262@solver_A,django__django-12262,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,15,15,0.3333,0.5,0.0,0.0,,0.0,0.0667,0.0,3,2,3,0,15,15,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,6.0,False,False,False,False,True,False,False,False,15
django__django-12273@solver_A,django__django-12273,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,False,76,75,0.7059,0.75,0.0,0.4194,,0.0667,0.0667,0.0133,17,8,31,0,75,76,0.0,24.0,13.0,5.0,1.0,1.0,2.0,7.0,34.0,False,False,False,False,True,False,False,False,75
django__django-12276@solver_A,django__django-12276,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,11,10,1.0,0.5,0.0,0.5,2.0,0.0,0.0,0.0,1,2,2,1,10,11,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,10
django__django-12304@solver_A,django__django-12304,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,14,14,0.0,0.0,0.0,0.0,3.0,0.0,0.0714,0.0,2,2,2,1,14,14,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,11.0,False,False,False,False,False,False,False,False,14
django__django-12308@solver_A,django__django-12308,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,43,43,0.6667,0.3333,0.0,0.4444,1.0,0.1628,0.0233,0.0,12,6,9,1,43,43,0.0,6.0,4.0,1.0,0.0,2.0,4.0,3.0,15.0,False,False,False,False,False,False,False,False,43
django__django-12325@solver_A,django__django-12325,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,False,31,30,0.5556,0.5714,0.0,0.125,,0.0,0.1,0.0,9,7,8,0,30,31,0.0,5.0,1.0,3.0,0.0,0.0,3.0,3.0,31.0,False,False,False,False,True,False,False,False,30
django__django-12406@solver_A,django__django-12406,django,solver_A,SWE-agent-1.0(HAL),opus-4.7,development,True,36,35,0.8333,0.5,0.0,0.2857,,0.0571,0.0286,0.0,12,8,7,0,35,36,0.0,3.0,2.0,1.0,0.0,1.0,4.0,4.0,28.0,False,False,False,False,True,False,False,False,35
